,PDB,RFree,Rwork,Resolution,Spacegroup
23654,3fgg,0.259,,2.3,P 1 21 1
23655,2cl5,0.178,,1.6,P 1 21 1
23656,6qyp,0.2533,,2.2,P 65 2 2
23657,4aul,0.19334,,1.5,C 1 2 1
23658,7tce,0.2732,,3.85,P 1 21 1
23659,1bbw,0.308,,2.7,P 61 2 2
23660,2alw,0.181,,1.86,P 21 21 21
23661,2ax7,0.247,,1.9,P 21 21 21
23662,6hyi,0.201101,,1.4,P 1 21 1
23663,4hyi,0.202,,1.4,P 1 21 1
23664,6f72,0.28044,,2.0,P 21 21 21
23665,5ci8,0.285,,2.33,P 61 2 2
23666,8bax,0.2622,,1.38,P 21 21 21
23667,7a00,0.2487,,1.78,P 21 21 21
23668,2f6p,0.2267,,2.0,P 21 21 21
23669,7f8f,0.216,,1.83,I 21 21 21
23670,2qjz,0.198,,1.25,P 1 21 1
23671,3b0q,0.2295,,2.1,C 1 2 1
23672,6avt,0.2113,,2.6,P 1 21 1
23673,5tbo,0.219,,2.15,P 64
23674,2azy,0.2,,1.9,P 31 2 1
23675,4yu8,0.25778,,1.8,P 31 2 1
23676,2qip,0.18312,,1.48,I 2 2 2
23677,8aqz,0.15954,,1.4,C 2 2 21
23678,1brt,0.164,,1.5,I 2 3
23679,4l9m,0.2691,,3.0,P 61 2 2
23680,2qly,0.224,,2.0,P 21 21 21
23681,7yzd,0.2525,,2.13,C 2 2 21
23682,3akz,0.282,,2.9,P 1 21 1
23683,6ay2,0.1765,,1.6,P 1 21 1
23684,3qdd,0.20938,,1.79,I 2 2 2
23685,4ian,0.2878,,2.44,C 1 2 1
23686,8vvm,0.2727,,2.9,P 21 21 21
23687,3b05,0.24156,,2.2,P 43 21 2
23688,1til,0.265,,2.7,P 41 2 2
23689,6afm,0.1676,,1.3,P 21 21 21
23690,5lo6,0.217,,2.4,I 2 2 2
23691,6cf8,0.2417,,1.87,P 31 2 1
23692,3l7h,0.2542,,1.95,P 1 21 1
23693,4boj,0.191,,1.38,P 21 21 21
23694,6w5h,0.2238,,1.85,P 1
23695,1f9q,0.275,,2.0,P 21 21 21
23696,4q9e,0.254,,2.31,I 2 2 2
23697,4z4i,0.2332,,2.8,P 1 21 1
23698,8cpq,0.2115,,1.8,C 2 2 21
23699,3amf,0.22381,,1.6,P 21 21 21
23700,3kuc,0.2089,,1.92,P 21 21 21
23701,6ff8,0.2232,,2.13,P 43
23702,2fif,0.2635,,2.49,C 1 2 1
23703,109l,,,1.85,P 32 2 1
23704,1qy2,0.205,,1.75,P 43 21 2
23705,4yxi,0.1533,,0.96,P 1 21 1
23706,3qal,0.194,,1.7,P 21 21 21
23707,3co0,0.289,,1.93,P 21 21 21
23708,4bmq,0.2433,,2.2,C 1 2 1
23709,4f6t,0.173,,1.6,P 63 2 2
23710,6w52,0.286,,3.74,I 21 3
23711,4i1y,0.2935,,2.6,P 1
23712,3w6m,0.188,,1.95,C 1 2 1
23713,3tar,0.192,,1.6,P 21 21 21
23714,4qlb,0.224,,2.6,P 1 21 1
23715,7a74,0.18785,,1.6,P 21 21 21
23716,8qm0,0.1983,,1.76,P 1 21 1
23717,8cl6,0.1558,,1.32,P 43 21 2
23718,6bkz,0.204,,2.01,P 43 21 2
23719,5ai5,0.237,,2.28,P 65 2 2
23720,6t4u,0.2281,,2.0,P 61 2 2
23721,1b0e,,,1.8,P 31
23722,6i02,0.218,,2.45,P 61
23723,8crh,0.183,,1.3,P 21 21 21
23724,1qv9,0.227,,1.54,C 2 2 21
23725,2cg7,0.219,,1.2,P 21 21 2
23726,7big,0.2429,,1.8,P 21 21 21
23727,7qip,0.2655,,2.65,P 41
23728,8fjt,0.285,,2.47,P 65 2 2
23729,5al8,0.198,,1.5,P 21 21 2
23730,2ag8,0.25244,,2.1,P 21 21 2
23731,3icl,0.222,,2.0,P 21 21 21
23732,7a67,0.25,,3.18,P 32 2 1
23733,6hyj,0.2634,,1.93,C 2 2 21
23734,1kvm,0.219,,2.06,C 1 2 1
23735,5qtv,0.202,,2.2,P 32 2 1
23736,8bdk,0.2529,,1.88,P 1 21 1
23737,6cg6,0.283,,2.71,P 41 21 2
23738,3w7x,0.24899,,2.7,P 1 21 1
23739,5lew,0.2306,,2.8,H 3 2
23740,5qov,0.2396,,1.65,P 21 21 21
23741,1b5f,0.256,,1.72,C 1 2 1
23742,6qfy,0.2551,,2.97,P 31 2 1
23743,8tiq,0.2667,,2.45,I 2 2 2
23744,4a2d,0.22836,,2.3,P 21 21 21
23745,6z50,0.1795,,1.6,P 65 2 2
23746,7qqu,0.2312,,2.45,C 1 2 1
23747,5fix,0.18473,,2.01,P 21 21 2
23748,8i5p,0.2407,,2.35,P 21 21 21
23749,4llt,0.2038,,1.55,P 1 21 1
23750,4i59,0.255,,2.93,P 21 21 21
23751,7cs8,0.3456,,2.6,P 61
23752,7b8e,0.2256,,2.23,P 32 2 1
23753,4bpr,0.2121,,2.0,P 65
23754,6agz,0.2567,,2.0,P 1 21 1
23755,1tgj,,,2.0,P 32 2 1
23756,4fj5,0.23795,,2.05,P 21 21 21
23757,7yt9,0.2722,,2.6,I 21 21 21
23758,7w48,0.3065,,3.5,P 31 2 1
23759,7kvp,0.2725,,2.75,I 2 2 2
23760,8amh,0.21836,,1.73,P 21 21 2
23761,8hza,0.2002,,1.69,C 1 2 1
23762,5a2n,0.3101,,3.7,P 21 21 21
23763,3i2x,0.285,,2.85,C 1 2 1
23764,2awn,0.271,,2.3,P 1 21 1
23765,2qzz,0.287,,1.6,P 1 21 1
23766,5amk,0.2169,,2.9,P 61 2 2
23767,5ax8,0.2913,,2.99,P 1
23768,3qls,0.207,,1.73,P 1 21 1
23769,4hz3,0.1916,,1.7,P 1
23770,4qpy,0.2159,,2.38,F 4 3 2
23771,7fjr,0.2965,,2.6,P 61 2 2
23772,7tbp,0.2381,,2.15,H 3 2
23773,4a4q,0.233,,1.8,P 21 21 2
23774,7cmj,0.225,,2.76,P 65 2 2
23775,2f7m,0.257,,2.3,P 41 21 2
23776,6bhp,0.2968,,3.21,P 31 2 1
23777,3l2j,0.258,,3.24,C 2 2 21
23778,4w6d,0.267,,3.45,P 32 2 1
23779,4qhi,0.247,,2.3,P 1 21 1
23780,2qjd,0.239,,2.44,P 32 2 1
23781,5qyu,0.22667,,1.51,C 1 2 1
23782,4i85,0.2298,,1.67,P 21 21 2
23783,5f97,0.23688,,2.62,P 1 21 1
23784,1axz,0.206,,1.95,C 1 2 1
23785,4b1m,0.1812,,1.1,P 1 21 1
23786,8akb,0.2608,,2.13,P 63
23787,6t5g,0.1595,,1.28,P 1
23788,3qkm,0.252,,2.2,P 21 21 21
23789,5chq,0.234,,1.87,P 21 21 21
23790,1cip,0.235,,1.5,P 32 2 1
23791,7ytu,0.2031,,1.5,P 31
23792,4css,0.1321,,1.07,P 21 21 21
23793,2aep,0.224,,2.1,P 4 21 2
23794,5qtk,0.29,,1.86,P 61 2 2
23795,1yqw,0.1847,,1.83,P 1 21 1
23796,478d,0.262,,2.2,H 3
23797,5t7j,0.1988,,1.65,P 21 21 21
23798,3tc3,0.214,,1.5,P 1
23799,8ath,0.2898,,2.37,C 1 2 1
23800,3qvy,0.286,,2.3,P 61
23801,7ahk,0.253,,2.5,P 3 2 1
23802,2i5d,0.24,,1.63,P 21 21 2
23803,2q9p,0.23,,1.65,P 21 21 21
23804,8clv,0.2461,,2.54,C 2 2 21
23805,1cgw,,,2.5,P 21 21 21
23806,3tea,0.244,,1.8,P 32 2 1
23807,5qrr,0.2721,,1.69,P 41 2 2
23808,2amm,0.22125,,1.9,P 41 21 2
23809,3bda,0.211,,2.0,P 43 21 2
23810,5lov,0.2415,,2.4,P 21 21 21
23811,6w1b,0.262,,2.31,C 1 2 1
23812,1ae6,0.311,,3.0,P 1 21 1
23813,5boj,0.212,,1.75,P 21 21 2
23814,8qos,0.2845,,2.01,P 1 21 1
23815,1a8z,0.219,,2.1,P 1 21 1
23816,3w1k,0.24,,7.5,C 1 2 1
23817,6ktb,0.218,,2.5,P 21 21 21
23818,2i29,0.254,,2.1,I 2 2 2
23819,6qa3,0.217,,1.57,P 1 21 1
23820,3tg1,0.26,,2.71,P 41 21 2
23821,8ad2,0.2261,,2.0,P 1 21 1
23822,3ar8,0.253,,2.6,C 1 2 1
23823,3b3l,0.28074,,2.9,P 21 21 21
23824,5ll0,0.2394,,1.96,P 1 21 1
23825,8b5b,0.2462,,1.92,P 21 21 21
23826,3avz,0.2626,,2.46,C 1 2 1
23827,4fc4,0.2363,,2.4,C 1 2 1
23828,8ank,0.1298,,1.3,C 1 2 1
23829,4qpp,0.2345,,2.52,P 42 2 2
23830,5fgu,0.2012,,1.9,C 2 2 21
23831,4arm,0.2128,,2.0,P 1 21 1
23832,5cre,0.29,,3.32,P 21 21 2
23833,3l4u,0.221,,1.9,P 21 21 21
23834,7a8x,0.2559,,2.3,P 21 21 21
23835,4l96,0.2259,,2.38,I 2 2 2
23836,3b7i,0.209,,1.75,P 61 2 2
23837,4aki,0.28903,,3.7,P 1 21 1
23838,1b9w,0.279,,1.8,P 32 2 1
23839,5f8m,0.2321,,2.83,P 21 21 21
23840,5qkd,0.288,,2.11,C 1 2 1
23841,4lj2,0.252,,3.15,P 21 21 2
23842,7ksn,0.185,,1.51,F 41 3 2
23843,7ler,0.3681,,5.99,P 65
23844,5lhu,0.2345,,2.02,H 3 2
23845,3krv,0.2444,,2.55,P 41 21 2
23846,6f8n,0.2091,,1.45,C 1 2 1
23847,4l3i,0.3,,3.6,P 1 21 1
23848,1kp8,0.258,,2.0,P 1 21 1
23849,8ak8,0.1929,,1.73,P 63
23850,6qwf,0.2654,,2.7,P 43 21 2
23851,6csd,0.236,,2.39,P 21 21 2
23852,7cik,0.2614,,2.29,H 3
23853,3qqb,0.227,,1.97,P 63
23854,3l5l,0.148,,1.03,I 2 2 2
23855,8auq,0.1856,,1.42,P 1 21 1
23856,5b0i,0.229,,2.26,C 2 2 2
23857,4ffe,0.2514,,2.25,P 32 2 1
23858,6hxi,0.208,,2.1,P 21 21 2
23859,2cl3,0.207,,1.9,P 31 2 1
23860,6fag,0.2657,,1.79,P 21 21 21
23861,3w2i,0.1967,,1.81,P 21 21 21
23862,7qgt,0.2418,,2.69,I 2 2 2
23863,4yqy,0.186,,1.38,P 41 21 2
23864,4ll2,0.241,,2.6,P 3
23865,8w21,0.2214,,2.25,P 43 21 2
23866,7kwd,0.2014,,2.1,P 21 3
23867,4ahu,0.198,,1.9,P 31
23868,8ted,0.22563,,2.1,P 21 21 21
23869,7cqs,0.2153,,2.0,C 1 2 1
23870,6b9v,0.196,,1.88,C 1 2 1
23871,4cry,0.15017,,1.61,I 4
23872,7ae5,0.2625,,2.19,P 1
23873,4lmt,0.2786,,1.71,P 65
23874,6way,0.1903,,1.5,C 2 2 21
23875,1ll2,0.227,,1.9,I 2 2 2
23876,3aud,0.19381,,1.94,P 65 2 2
23877,6qr9,0.2461,,2.42,P 21 21 21
23878,3f7s,0.217,,2.11,P 41 21 2
23879,5vwy,0.216,,1.56,C 1 2 1
23880,5z0b,0.2323,,2.17,C 1 2 1
23881,6a3k,0.1981,,1.71,C 1 2 1
23882,3fgs,0.246,,1.8,P 21 21 21
23883,7coz,0.2362,,1.85,C 1 2 1
23884,8bpq,0.2446,,2.3,P 32
23885,3qmj,0.217,,2.2,I 21 3
23886,6ype,0.178,,1.45,C 1 2 1
23887,1l9x,0.201,,1.6,P 21 21 21
23888,4fb0,0.2296,,3.22,P 21 21 21
23889,6w2r,0.2741,,2.34,P 1 21 1
23890,8aup,0.2401,,2.17,P 1 21 1
23891,4aly,0.26077,,2.4,P 21 21 21
23892,6kpc,0.262,,3.2,P 21 21 21
23893,8t65,0.2208,,2.09,P 1 21 1
23894,3krm,0.2386,,2.75,P 65
23895,3kqi,0.218,,1.78,P 65 2 2
23896,6b36,0.202,,1.63,P 21 21 2
23897,4atd,0.2059,,2.1,I 2 2 2
23898,7bnl,0.1978,,1.23,P 21 21 21
23899,7qvl,0.245,,1.9,C 1 2 1
23900,8w8j,0.2085,,1.81,P 21 21 21
23901,6fa9,0.2759,,2.6,P 21 21 21
23902,6kxk,0.2662,,2.5,P 1 21 1
23903,4atz,0.1933,,1.95,P 21 21 21
23904,8qvv,0.23277,,2.34,C 1 2 1
23905,5ald,0.227,,2.26,P 65 2 2
23906,7kzh,0.2631,,2.49,P 3 2 1
23907,6kx1,0.2286,,1.77,C 1 2 1
23908,1a9n,0.328,,2.38,P 21 21 2
23909,5ypq,0.25168,,2.65,P 21 21 21
23910,6lei,0.2411,,2.8,P 61 2 2
23911,4ysa,0.149,,1.43,H 3
23912,9cgt,0.182,,2.5,P 21 21 21
23913,1lns,0.223,,2.2,P 21 21 2
23914,7cg9,0.24435,,2.05,P 41 21 2
23915,1bjz,0.296,,2.2,I 41 2 2
23916,4fjr,0.246,,1.86,P 43 21 2
23917,7f8h,0.2813,,3.3,I 1 2 1
23918,3kwx,0.21,,2.4,P 31 2 1
23919,5tky,0.264,,2.6,P 1 21 1
23920,7vwp,0.2709,,2.3,P 1
23921,4cn1,0.21507,,2.55,P 41 21 2
23922,6qz5,0.2245,,2.0,P 65 2 2
23923,1taq,0.323,,2.4,P 31 2 1
23924,6ll0,0.2461,,2.2,P 65
23925,1z2i,0.265,,2.2,P 31
23926,3qj0,0.229,,2.3,P 21 21 2
23927,2qxl,0.235,,2.41,C 1 2 1
23928,6t8t,0.1939,,1.68,C 1 2 1
23929,2vxc,0.2444,,3.1,P 21 21 2
23930,3qyt,0.275,,2.8,P 21 21 21
23931,6tfx,0.182,,1.56,P 1 21 1
23932,3bhd,0.20117,,1.5,P 1 21 1
23933,7a2f,0.2242,,2.0,C 1 2 1
23934,5z12,0.2901,,2.75,P 21 21 21
23935,5l2i,0.304,,2.75,I 4
23936,1i40,,,1.1,H 3 2
23937,4a26,0.29,,2.7,C 2 2 21
23938,6cn3,0.272,,3.35,P 43 21 2
23939,2aph,0.267,,2.1,P 1 21 1
23940,5yu4,0.1981,,2.14,C 1 2 1
23941,3qc5,0.172,,1.4,P 21 21 21
23942,6t6n,0.2106,,2.5,F 2 2 2
23943,7l7n,0.2093,,1.59,P 21 21 21
23944,6tc2,0.1877,,1.36,P 1 21 1
23945,1t3e,0.30306,,3.25,P 61
23946,5lgk,0.278,,3.5,P 1
23947,3cin,0.194,,1.7,I 2 2 2
23948,8t4t,0.2715,,2.36,P 1 21 1
23949,7abe,0.2082,,1.83,P 21 21 21
23950,8i12,0.1494,,1.36,P 21 21 21
23951,6t4e,0.2113,,1.66,C 1 2 1
23952,5b0f,0.2226,,1.6,P 1 21 1
23953,5f5z,0.204,,1.76,P 21 21 21
23954,7apg,0.2557,,2.4,P 1 21 1
23955,7f5f,0.205012,,1.62,I 2 2 2
23956,2b9f,0.259,,1.8,P 21 21 21
23957,6w65,0.2247,,2.13,P 43 21 2
23958,6lln,0.236,,1.8,F 2 2 2
23959,4qj9,0.20745,,1.83,P 21 21 21
23960,5b00,0.337,,2.95,C 1 2 1
23961,5boh,0.1689,,1.8,H 3
23962,4bdb,0.224,,2.5,P 32 2 1
23963,5idn,0.253,,2.26,P 21 21 21
23964,8af1,0.2029,,1.57,P 21 21 2
23965,4kx3,0.2165,,2.1,P 43 2 2
23966,1kxf,0.284,,2.38,P 43 21 2
23967,7b4f,0.1954,,1.78,C 1 2 1
23968,5vyf,0.259,,2.9,P 21 21 21
23969,4z5c,0.2287,,2.5,P 31 2 1
23970,7bka,0.2172,,1.88,C 1 2 1
23971,3tcm,0.279,,2.71,P 21 21 2
23972,7ax2,0.206,,2.1,I 41 2 2
23973,5f6q,0.169,,1.52,I 2 2 2
23974,5cnj,0.2412,,2.65,P 21 21 2
23975,4f7u,0.2213,,1.9,C 1 2 1
23976,3ajm,0.2641,,2.3,P 41 21 2
23977,6t7j,,,2.43,P 21 21 2
23978,6qbo,0.2136,,2.75,P 62
23979,3qpm,0.22,,1.9,C 1 2 1
23980,6qza,0.2259,,3.09,P 32 2 1
23981,8ad8,0.2499,,2.95,P 64
23982,2cn3,0.204,,1.95,P 43 21 2
23983,2idc,0.2394,,2.2,P 21 21 21
23984,3li6,0.287,,2.5,P 3
23985,3ash,0.2153,,2.41,P 21 21 21
23986,2clq,0.257,,2.3,P 65 2 2
23987,3qz1,0.2973,,3.0,P 1 21 1
23988,6w0s,0.22,,1.7,P 1 21 1
23989,2vz6,0.203,,2.3,P 21 21 21
23990,4bmu,0.2331,,1.9,P 1 21 1
23991,4cex,0.1502,,1.59,P 63 2 2
23992,6idz,0.2637,,2.71,H 3 2
23993,4w91,0.2521,,2.45,P 1
23994,4yz6,0.217,,1.95,P 32 2 1
23995,5qec,0.2165,,1.67,P 31 2 1
23996,1i8m,0.2583,,2.1,P 65 2 2
23997,4i7z,0.2718,,2.8,P 61 2 2
23998,2b3e,,,1.36,P 21 21 21
23999,2qlp,0.295,,2.47,P 1 21 1
24000,5l5z,0.2124,,2.7,P 1 21 1
24001,3tje,0.232,,1.93,C 2 2 21
24002,2faq,0.226,,1.9,P 21 21 2
24003,4aze,0.24831,,3.15,P 31 1 2
24004,3b4m,0.2897,,2.82,P 31
24005,2ywe,0.27,,2.05,C 2 2 21
24006,7anb,0.2448,,2.6,P 43 21 2
24007,5kx6,0.327,,2.2,P 1 21 1
24008,2bep,0.22,,1.8,P 21 21 21
24009,7fh6,0.1776,,1.55,P 21 21 21
24010,5ynt,0.17062,,1.79,C 2 2 21
24011,8aog,0.2201,,1.6,P 1 21 1
24012,5qqf,0.2699,,2.26,P 65 2 2
24013,2b0u,0.297,,2.8,P 21 21 2
24014,5fhz,0.2892,,2.9,P 1 21 1
24015,3l3b,0.221,,1.9,C 2 2 21
24016,6qbb,0.1902,,1.52,P 2 21 21
24017,6w3d,0.2158,,1.38,C 1 2 1
24018,3lki,0.222,,2.04,P 21 21 21
24019,8coj,0.2254,,2.1,P 63
24020,7bm6,0.1822,,2.16,P 65
24021,6bb0,0.2151,,1.95,P 1 21 1
24022,1cow,0.28,,3.1,P 21 21 21
24023,3b7c,0.214,,1.7,P 65 2 2
24024,3ks5,,,2.05,P 41 21 2
24025,7a27,0.247,,2.57,P 21 21 21
24026,1fc0,0.235,,2.4,P 31
24027,5i8l,0.2891,,2.8,P 21 21 21
24028,1w34,0.208,,1.73,P 65
24029,6kvn,0.2367,,2.02,P 21 21 2
24030,7bb5,0.2227,,2.3,I 41 2 2
24031,3l1i,0.25,,2.2,P 41 21 2
24032,2z3x,0.283,,2.1,P 61 2 2
24033,6a52,0.2501,,2.0,P 1 21 1
24034,8t8x,0.22881,,2.59,C 2 2 21
24035,1vyw,0.258,,2.3,P 62 2 2
24036,1ytl,0.21408,,1.8,P 1
24037,2ibm,0.323,,3.2,I 21 21 21
24038,7cj4,0.2689,,2.08,P 21 21 21
24039,7atx,0.2645,,1.79,P 21 21 21
24040,7vwk,0.2528,,2.0,P 1 21 1
24041,5ll7,,,1.4,P 21 21 21
24042,1fev,0.229,,2.25,P 31 2 1
24043,2au9,,,1.3,H 3 2
24044,3qxt,0.195,,1.7,P 61 2 2
24045,3td2,0.255,,2.5,P 32 2 1
24046,4qxv,0.152,,1.12,P 21 21 2
24047,6w7k,0.219,,1.7,P 21 21 21
24048,7b8d,0.2284,,1.62,P 21 21 21
24049,2i7n,0.243,,1.9,P 63
24050,5kq8,0.219,,2.0,P 31 2 1
24051,1qw4,0.251,,2.4,P 61 2 2
24052,6f5z,0.207,,1.35,P 21 21 21
24053,2bgh,0.272,,2.6,P 21 21 21
24054,8aqr,0.2345,,1.46,P 1 21 1
24055,1kvd,,,1.8,P 43 21 2
24056,5qtm,0.2472,,1.79,P 1
24057,6lfu,0.2578,,3.12,P 1 21 1
24058,7tbo,0.2839,,2.32,P 1
24059,3l7b,0.215,,2.0,P 43 21 2
24060,3asy,0.2995,,2.4,P 43 21 2
24061,4qne,0.27,,2.32,P 4 21 2
24062,9be0,0.29748,,2.5,P 1
24063,3bb2,0.228,,1.5,C 2 2 21
24064,5z0a,0.23154,,2.09,P 1
24065,6t26,0.2064,,2.27,P 1 21 1
24066,6i34,0.243,,2.1,P 1 21 1
24067,3cgl,0.21668,,2.09,C 1 2 1
24068,6qre,0.2361,,1.93,P 21 21 21
24069,3blk,0.21475,,2.0,P 21 21 21
24070,4qbl,0.203,,2.0,C 1 2 1
24071,4f92,0.2592,,2.66,C 1 2 1
24072,3t1r,0.236,,2.0,C 2 2 21
24073,1i2o,0.206,,2.05,P 21 21 21
24074,6l2k,0.2429,,1.95,P 21 21 21
24075,5l41,0.1295,,1.25,P 61 2 2
24076,5a0t,0.1769,,2.28,P 43 2 2
24077,8aui,0.1822,,1.54,P 2 21 21
24078,5afb,0.2452,,2.16,I 2 2 2
24079,3cg6,0.27169,,1.7,C 2 2 21
24080,1td1,0.21011,,1.9,P 21 21 21
24081,8qc6,0.2438,,2.4,P 21 21 21
24082,6ffk,0.256,,1.94,C 1 2 1
24083,4kv0,0.1787,,1.55,P 1 21 1
24084,8b2i,0.1776,,1.4,C 2 2 21
24085,3f8m,0.248,,1.8,P 1 21 1
24086,5l10,0.218,,2.75,P 1 21 1
24087,3kqc,0.224,,2.2,P 21 21 21
24088,7ces,0.2006,,2.2,P 31 2 1
24089,3ic0,0.23,,1.8,P 32 2 1
24090,4bhf,0.20883,,2.05,H 3 2
24091,7t80,0.2324,,2.3,P 32 2 1
24092,2qz6,0.2429,,2.26,P 1 21 1
24093,5av9,0.2395,,2.2,P 21 21 21
24094,6te2,0.1463,,0.92,P 1
24095,2ag2,0.231,,2.0,P 21 21 21
24096,5fap,0.227,,2.7,P 1 21 1
24097,1yqx,0.278,,2.5,P 21 21 2
24098,7cqf,0.2051,,1.8,P 61
24099,6l63,0.3024,,3.0,P 2 21 21
24100,3w2h,0.1826,,1.75,P 21 21 21
24101,3a0o,0.22307,,2.11,P 1
24102,3kty,0.24,,2.3,C 1 2 1
24103,3b53,0.178,,1.5,C 1 2 1
24104,4ib0,0.2867,,1.87,P 21 21 21
24105,1w4v,0.228,,1.8,P 1
24106,1llb,0.199,,1.72,C 1 2 1
24107,2qio,0.223,,2.44,P 21 21 21
24108,8ah0,0.2097,,1.8,P 21 21 2
24109,7b9c,0.2479,,2.4,P 21 21 21
24110,7lcs,0.255,,1.85,C 1 2 1
24111,3wa5,0.202,,1.9,P 43 21 2
24112,4fgu,0.29963,,3.9,H 3 2
24113,4wa3,0.174,,1.8,I 4
24114,6yxt,0.2552,,2.2,P 21 21 21
24115,7lbc,0.3057,,2.28,C 2 2 21
24116,7ce8,0.2423,,2.72,P 21 21 21
24117,4cgq,0.2102,,2.0,P 43 21 2
24118,5t29,0.213,,2.03,C 1 2 1
24119,4ffj,0.24367,,1.95,P 43 21 2
24120,7lbt,0.2319,,2.7,C 2 2 21
24121,1kqb,0.217,,1.8,P 1 21 1
24122,5bkd,0.2177,,1.9,P 21 21 2
24123,7qoa,0.2652,,2.4,C 2 2 21
24124,7bly,0.1855,,1.81,P 4 3 2
24125,6krw,0.1661,,1.4,C 1 2 1
24126,4ax8,0.23282,,3.0,I 2 3
24127,2w2t,0.254,,1.95,C 2 2 21
24128,3bb8,0.25,,2.35,P 32
24129,5aig,0.1327,,1.16,P 65
24130,6yus,0.24,,2.0,P 41 21 2
24131,5alw,0.246,,2.2,P 65 2 2
24132,3i6a,0.244,,1.98,P 1 21 1
24133,3l1f,0.211,,1.53,P 41 21 2
24134,5ci2,0.1966,,2.25,P 61 2 2
24135,3ff0,0.181,,1.9,P 32 2 1
24136,6yu7,0.2627,,2.3,P 1 2 1
24137,8qqe,0.2609,,3.46,I 4 3 2
24138,5lkj,0.2197,,2.6,P 21 21 2
24139,6tg3,0.199,,1.85,P 1 21 1
24140,1l42,,,1.8,P 32 2 1
24141,6l02,0.197,,1.8,P 41 21 2
24142,8fdq,0.2422,,1.54,P 21 21 21
24143,5qb1,0.2014,,1.8,P 1 21 1
24144,1ag9,0.25,,1.8,P 21 21 21
24145,4iat,0.2416,,2.0,P 43 21 2
24146,3qy7,0.24706,,1.62,P 21 21 21
24147,8cnz,0.28,,3.6,C 2 2 21
24148,4auy,0.1864,,2.1,P 31 2 1
24149,1ab9,0.19,,1.6,P 42 21 2
24150,3qsl,0.2312,,2.0,P 21 21 21
24151,4qsj,0.2042,,1.7,P 21 21 21
24152,5azb,0.2218,,1.6,P 21 21 21
24153,8yp3,0.2199,,2.12,P 1 21 1
24154,8tct,0.1829,,1.86,P 32 2 1
24155,6qui,0.224,,1.94,P 65 2 2
24156,6lcj,0.2017,,2.5,P 1 21 1
24157,8idr,0.2028,,1.8,H 3
24158,476d,,,1.3,H 3
24159,6qfj,0.23453,,2.13,P 1
24160,3tkq,0.224,,2.22,C 1 2 1
24161,2am4,0.217,,1.7,P 21 21 21
24162,5i6t,0.203,,5.28,P 1
24163,9b7f,0.1975,,1.65,P 43 21 2
24164,3qk4,0.2744,,2.6,P 43
24165,7leg,0.2241,,1.96,P 21 21 21
24166,3cj4,0.278,,2.07,P 1 21 1
24167,3fhf,0.251,,2.0,C 1 2 1
24168,5t1e,0.1894,,1.83,P 1 21 1
24169,7fhb,0.2221,,1.9,P 21 21 21
24170,3qfn,0.254,,2.31,P 21 21 21
24171,2i1l,0.281,,2.5,C 1 2 1
24172,6vy5,0.2498,,3.4,P 32 2 1
24173,4bf6,0.2019,,1.82,P 1 21 1
24174,5tff,0.19,,1.89,P 43
24175,9bon,0.2374,,2.22,P 1 21 1
24176,8ao5,0.214,,1.59,P 1 21 1
24177,2cqs,0.213,,2.0,P 1 21 1
24178,6bab,0.253,,1.91,P 1
24179,7chq,0.2252,,1.33,P 21 21 21
24180,2awz,0.243,,2.15,P 21 21 21
24181,6f81,,,0.97,P 1 21 1
24182,4acz,0.2215,,1.99,P 1
24183,8a0o,0.234,,1.84,P 41 21 2
24184,5f6k,0.2284,,2.41,P 21 21 2
24185,3qcb,0.304,,2.1,P 21 21 21
24186,5yvr,0.2128,,1.9,C 2 2 21
24187,2a4q,0.274,,2.45,H 3 2
24188,7cr5,0.222,,2.08,P 21 21 2
24189,1ysj,0.2471,,2.4,C 1 2 1
24190,3f97,0.21197,,1.7,C 1 2 1
24191,7qp1,0.2605,,3.0,P 32
24192,2z31,0.287,,2.7,P 41 2 2
24193,1i0a,0.213,,2.5,P 21 21 21
24194,6vuz,0.2235,,2.65,H 3 2
24195,8b2f,0.146,,1.18,P 1
24196,3qpy,0.252,,1.95,P 21 21 21
24197,5lon,0.312,,3.5,I 4 3 2
24198,6qto,0.1464,,1.27,P 21 21 21
24199,3qm9,0.133,,0.91,P 1 21 1
24200,2qdt,0.1925,,2.0,P 64 2 2
24201,5lis,0.26186,,2.29,I 21 3
24202,3w29,0.214,,1.39,P 21 21 2
24203,3tey,0.234,,2.12,P 21 21 21
24204,5w3x,0.212,,2.0,P 1
24205,2i0k,0.1672,,1.6,C 1 2 1
24206,1td9,0.297,,2.75,P 64 2 2
24207,3l7i,0.2603,,2.7,P 41 21 2
24208,6fdo,0.25,,2.6,P 65
24209,7q9u,0.2545,,2.24,P 1
24210,3aly,0.25048,,1.66,P 1
24211,3afr,0.264,,2.0,C 1 2 1
24212,4lkv,0.3305,,3.51,C 2 2 21
24213,8ibr,0.1857,,1.7,P 3 2 1
24214,7avy,0.249,,2.31,P 31 1 2
24215,1hxc,0.296,,2.25,P 41 21 2
24216,1w0v,0.246,,2.27,P 21 21 21
24217,2hxa,0.267,,2.21,P 21 21 21
24218,4aiq,0.2775,,2.6,C 1 2 1
24219,3tkh,0.201,,1.79,P 1 21 1
24220,5qow,0.2518,,1.82,P 21 21 21
24221,4w8y,0.2587,,3.0,P 1 21 1
24222,8fbz,0.1888,,1.59,I 1 2 1
